pair,block,name,token_0_name,token_0_symbol,token_0_id,token_0_decimals,token_1_name,token_1_symbol,token_1_id,token_1_decimals,tx_hash,dex_name,creator,vol
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376729,USDC-WETH,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,,uniswapv3,,132209090.441264
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,16266586,WETH-USDT,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x151e7360d01ccc21204b281064ce4fd3b9f808cff627e80f16e2f75023ebb03a,uniswapv3,0x611350945b214a8fba2c0270aC04a83C342E79b7,129410263.654434
0xe0554a476a092703abdb3ef35c80e0d76d32939f,13616454,USDC-WETH,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x9a773c2ab3acc47552e73d553b35e29c8fb0ca9576882f46552254232edb3cfd,uniswapv3,,71996246.725758
0xc555d55279023e732ccd32d812114caf5838fd46,20400507,Neiro-WETH,Neiro,Neiro,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,9,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x3e88afbc983be3b6e85e88421239f6b31e0707887dbcc05041aa0526ff64397b,uniswapv2,0xc35dec0a0180ded238d90d969c00692c9cccdfcb,54634781.51206609339826844445170877700
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,18961223,WETH-weETH,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Wrapped eETH,weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,18,0x70a06f049d7ada3b4f1051cb65670fdad9b8c06de8c01cd9e0c9306a0ef7668c,uniswapv3,0xeeF7b7205CAF2Bcd71437D9acDE3874C3388c138,45527951.6767025900452011
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,12376387,WBTC-WETH,Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xcb2fcbba10febc9dfc29aef3e993ec5581f30eabeb034d2a68ffe8810788784b,uniswapv3,,21042487.018874127590588174
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,15384250,wstETH-WETH,Wrapped liquid staked Ether 2.0,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xec4d820cfa04bfd072aab4b15c7bae2f1f6d1b7099a566122b07962740e153b8,uniswapv3,,19271522.2024736533519886
0x3416cf6c708da44db2624d63ea0aaef7113527c6,13609065,USDC-USDT,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0xf093a630478562d03e3b2476a5b0551609722747d442a462579fa02e1332a941,uniswapv3,,17039644.594452
0xfa45c879fd120d6cc493113ae212a853531f3d91,20406449,WETH-NEIRO,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Neiro,NEIRO,0xee2a03aa6dacf51c18679c516ad5283d8e7c2637,9,0xafe25d284b38b9651b2f092faa41b685b44077eec190affa3fae6f07985c7db8,uniswapv3,0xd6add847a23ebe3e6a440e43a7b6ae037d1c0688,16848818.87655689268464551
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,12376048,WBTC-USDC,Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0x2acb44ed240131e3a05eacc0ee870bdf93564f299eb633156a60d81055a352eb,uniswapv3,,13782505.275706
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,18634804,USDe-USDT,USDe,USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,18,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0xc1086a8b1fe0635d665f19a3b21446b9780085c25fe7fc031cd407c4e7742ea3,uniswapv3,0x796ee28ce42bf7bd43a09acd43fad0aacd7c3b29,12619713.475720
